ticket_id,order_id,customer_id,driver_id,restaurant_id,agent_id,reason_id,priority_id,channel_id,status,refund_amount,created_at,first_response_at,resolved_at,sla_first_due_at,sla_resolve_due_at
620fce20-752a-4227-9f6d-0692d068d60f,667a39e5-ccee-4c65-9adc-df6064587f3c,491,55,48.0,26,2,1,1,Closed,108.37,2026-03-10 11:01:04,2026-03-10 11:01:55,2026-03-10 11:05:04,2026-03-10 11:02:04,2026-03-10 11:16:04
a282013e-306c-4dac-b121-87ad1f0d2abd,b84b47f7-1da4-4836-967c-727947b81b3c,446,94,7.0,27,10,2,2,Closed,0.0,2026-03-10 12:33:21,2026-03-10 12:33:32,2026-03-10 12:44:21,2026-03-10 12:34:21,2026-03-10 12:48:21
b1853245-8249-4a7e-acac-4669ecca9f05,690a175f-a33a-4ff2-9818-fe75e587c8db,119,90,25.0,27,1,3,3,Resolved,20.51,2026-03-10 11:19:04,2026-03-10 11:25:57,2026-03-10 12:21:04,2026-03-10 11:20:04,2026-03-10 11:34:04
44c43619-0e39-49e4-9470-0f0e9afdd577,d675f814-0bca-474b-9cf3-4182f3bf4154,198,51,5.0,11,7,2,4,Resolved,0.0,2026-03-10 11:33:36,2026-03-10 11:33:47,2026-03-10 11:42:36,2026-03-10 11:34:36,2026-03-10 11:48:36
dcedebec-3df4-47e5-897e-26c69c1ab843,17d27b83-3255-497e-9aaf-f9fbb1826584,167,38,36.0,28,5,2,3,Resolved,0.0,2026-03-10 11:04:40,2026-03-10 11:05:00,2026-03-10 11:10:40,2026-03-10 11:05:40,2026-03-10 11:19:40
bc9d9c91-e327-478b-81c5-56f9eb03cb35,b83eaa9c-f4dd-456c-99a0-c5248995deb7,39,99,45.0,11,10,1,4,Resolved,0.0,2026-03-10 11:57:26,2026-03-10 11:58:04,2026-03-10 12:09:26,2026-03-10 11:58:26,2026-03-10 12:12:26
0f2b7ff6-382f-4925-9947-70d2338b93b0,4e757b6e-9c6b-483c-bf38-ecd5626cc651,65,80,55.0,12,8,1,4,Resolved,79.81,2026-03-10 11:30:01,2026-03-10 11:30:13,2026-03-10 11:37:01,2026-03-10 11:31:01,2026-03-10 11:45:01
7ab29b8f-d61a-48e3-8196-757ad5cba3c7,3c4a3abc-be9e-4283-a4ff-825efeff281b,286,65,47.0,25,3,3,4,Resolved,123.18,2026-03-10 11:28:51,2026-03-10 11:29:44,2026-03-10 12:23:51,2026-03-10 11:29:51,2026-03-10 11:43:51
cbb679b1-4a68-4ad3-9101-96c5acde217b,e1f83b22-bce6-4af0-bec5-b338174a4e21,264,81,36.0,4,6,4,4,Closed,0.0,2026-03-10 12:04:01,2026-03-10 12:04:20,2026-03-10 12:47:01,2026-03-10 12:05:01,2026-03-10 12:19:01
20822234-fb36-44d4-a10b-9edcb957e1de,0a3d018e-c513-40f2-8570-aedc9e0bdfaf,92,52,12.0,16,7,1,1,Closed,0.0,2026-03-10 12:08:04,2026-03-10 12:08:32,2026-03-10 12:17:04,2026-03-10 12:09:04,2026-03-10 12:23:04
236aa035-2fd9-4780-9673-22b997028f37,7b2e8f43-88b5-4dbf-800f-20c68d2b6e68,5,4,17.0,2,3,3,3,Closed,0.0,2026-03-10 11:35:26,2026-03-10 11:36:11,2026-03-10 11:45:26,2026-03-10 11:36:26,2026-03-10 11:50:26
605d6dc7-51be-471d-a7b4-610642d5375d,fc24e327-3f84-4f0b-b111-a6f89689bb1e,331,22,,15,7,2,4,Resolved,0.0,2026-03-10 11:51:12,2026-03-10 11:51:28,2026-03-10 11:55:12,2026-03-10 11:52:12,2026-03-10 12:06:12
